ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Product_Class,Defrost_Type,Compact,Built-in,Height_Inches,Width_Inches,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier,
2229662,MicroFridge,10.3RMF4RW,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,12/4/2014,"United States, Canada",ES_0092273_10.3RMF4RW_12042014111045_70017616,Yes
2234669,MicroFridge,2.3MF4-7CD1,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,25,18.6,2.3,2.3,223,280,8/25/2014,3/2/2015,"United States, Canada",ES_0092273_2.3MF4-7CD1 _03122015025156_70025705,No
2234671,MicroFridge,2.3MF4-7CD1S,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,25,18.6,2.3,2.3,223,280,8/25/2014,3/2/2015,"United States, Canada",ES_0092273_2.3MF4-7CD1S _03122015025156_70025705,No
2234673,MicroFridge,2.3MF4-7CD1W,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,25,18.6,2.3,2.3,223,280,8/25/2014,3/2/2015,"United States, Canada",ES_0092273_2.3MF4-7CD1W _03122015025156_70025705,No
2234668,MicroFridge,2.3MF4-7D1,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,25,18.6,2.3,2.3,223,280,8/25/2014,3/2/2015,"United States, Canada",ES_0092273_2.3MF4-7D1 _03122015025156_70025705,No
2234670,MicroFridge,2.3MF4-7D1S,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,25,18.6,2.3,2.3,223,280,8/25/2014,3/2/2015,"United States, Canada",ES_0092273_2.3MF4-7D1S _03122015025156_70025705,No
2234672,MicroFridge,2.3MF4-7D1W,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,25,18.6,2.3,2.3,223,280,8/25/2014,3/2/2015,"United States, Canada",ES_0092273_2.3MF4-7D1W _03122015025156_70025705,No
2218002,MicroFridge,2.3MF4R,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,25,18.6,2.3,2.3,223,280,8/25/2014,8/27/2014,"United States, Canada",ES_0092273_2.3MF4R_08272014021903_2752402,No
2218003,MicroFridge,2.3MF4RS,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,25,18.6,2.3,2.3,223,280,8/25/2014,8/27/2014,"United States, Canada",ES_0092273_2.3MF4RS_08272014021903_2752402,No
2218004,MicroFridge,2.3MF4RW,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,25,18.6,2.3,2.3,223,280,8/1/2014,8/27/2014,"United States, Canada",ES_0092273_2.3MF4RW_08272014021903_2752402,No
