Brand_Name_s__s,Product_Class_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Midea,(16) Casement-Slider,MWDUL-10CRN1-BCJ4,MWDUL-10CRN1-BCJ4,10000.0,961.0,10.4,,No,No
Midea,(16) Casement-Slider,MWDUL1-08CRN1-BCJ8,MWDUL1-08CRN1-BCJ8,8000.0,734.0,10.8,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWDUJ2-08ERN1-BCJ9,MWDUJ2-08ERN1-BCJ9,8000.0,734.0,10.9,,No,No
Midea,"(5b) Without reverse cycle, with louvered sides, and 28,000 Btu/h or more",MWDUK-28CRN1-MCI0,MWDUK-28CRN1-MCI0,28000.0,3111.0,9.0,,No,No
Midea,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",MWDUK-25ERN1-MCI4,MWDUK-25ERN1-MCI4,25000.0,2660.0,9.4,,No,No
Midea,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",MWDUK-25CRN1-MCI4,MWDUK-25CRN1-MCI4,25000.0,2660.0,9.4,,No,No
Midea,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",MWEUK-22CRN1-MCJ3,MWEUK-22CRN1-MCJ3,22000.0,2135.0,10.3,,No,No
Midea,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",MWDUK-22CRN1-MCI8,MWDUK-22CRN1-MCI8,22000.0,2245.0,9.8,,No,No
Midea,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",MWDUK-18CRN1-MCJ7,MWDUK-18CRN1-MCJ7,18500.0,1729.0,10.7,,No,No
Midea,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",MWDUK-18ERN1-MCJ7,MWDUK-18ERN1-MCJ7,18500.0,1729.0,10.7,,No,No
Midea,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",MWDUK-18CRN1-MCK1,MWDUK-18CRN1-MCK1,18500.0,1652.0,11.1,,No,No
Midea,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",MWEUK-15CRN1-BCK8,MWEUK-15CRN1-BCK8,15100.0,1279.0,11.8,,No,No
Midea,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",MWDUK-15CRN1-BCJ7,MWDUK-15CRN1-BCJ7,15100.0,1411.0,10.7,,No,No
Midea,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",MWDUK-15CRN1-BCK1,MWDUK-15CRN1-BCK1,15100.0,1348.0,11.1,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWEUK-12CRN1-BCL0,MWEUK-12CRN1-BCL0,12000.0,1000.0,12.0,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWDUK-12CRN1-BCK2,MWDUK-12CRN1-BCK2,12000.0,1060.0,11.2,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWDUK-12CRN1-BCJ9,MWDUK-12CRN1-BCJ9,12000.0,1100.0,10.9,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWDUK-12CMN1-BCJ9,MWDUK-12CMN1-BCJ9,12000.0,1100.0,10.9,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWDUK-10CRN1-BCK2,MWDUK-10CRN1-BCK2,10000.0,880.0,11.2,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWDUK-08CRN1-BCK2,MWDUK-08CRN1-BCK2,8000.0,708.0,11.2,,No,No
Midea,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",MWEUK-06CRN1-BCL1,MWEUK-06CRN1-BCL1,6000.0,490.0,12.1,,No,No
Midea,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",MWDUK-06CRN1-BCK0,MWDUK-06CRN1-BCK0,6000.0,536.0,11.0,,No,No
Midea,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",MWDUK-05CRN1-BCK0,MWDUK-05CRN1-BCK0,5000.0,446.0,11.0,,No,No
Keystone,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",KSTAT12-2HC,KSTAT12-2HC,12000.0,1263.0,9.5,,No,No
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTAW08C,KSTAW08C,8000.0,666.0,12.0,,No,No
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT08-1C,KSTAT08-1C,8000.0,754.0,10.6,,No,No
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT10-1C,KSTAT10-1C,10000.0,943.0,10.6,,No,No
Keystone,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",KSTAW06C,KSTAW06C,6000.0,490.0,12.1,,No,No
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTAW12C,KSTAW12C,12000.0,1000.0,12.0,,No,No
Keystone,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",KSTAW05B,KSTAW05B,5000.0,446.0,11.0,,No,No
Keystone,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",KSTAW06B,KSTAW06B,6000.0,536.0,11.0,,No,No
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTAW08B,KSTAW08B,8000.0,734.0,10.9,,No,No
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTAW10B,KSTAW10B,10000.0,917.0,10.9,,No,No
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT08-1HC,KSTAT08-1HC,8000.0,833.0,9.6,,No,No
GREE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",GJC12BL-A3NMND2P,GJC12BL-A3NMND2P,12100.0,1100.0,10.9,11.0,No,No
Master Craft,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",G17-12ESCWAC,G17-12ESCWAC,12100.0,1000.0,12.0,12.1,No,No
Master Craft,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",G17-10ESCWAC,G17-10ESCWAC,10200.0,840.0,12.0,12.1,No,No
Master Craft,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",G17-6ESCWAC,G17-6ESCWAC,6050.0,490.0,12.1,12.3,No,No
GREE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",GJC10BL-A3NRND2P,GJC10BL-A3NRND2P,10150.0,900.0,11.2,11.3,No,No
LG,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",LW2217IVSM,LW2217IVSM,22000.0,2190.0,10.0,,No,No
Arctic King,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",WWK+05CR5,WWK+05CR5,5000.0,446.0,11.0,,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AHH18DW** (230),AHH18DW**,18000.0,1510.0,11.8,11.9,No,No
