ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Defrost_Type,Compact,Built-in,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2214555,Sub-Zero,ID-30FI,,Upright Freezer,Automatic,Yes,No,4.9,8.6,356,439,9/1/2013,7/3/2014,"United States, Canada",ES_0031863_ID-30FI_07032014112231_2742900
2245305,Sylvania,SFRF434-WHITE,,Chest Freezer,Manual,Yes,No,3.5,6.2,152,194,7/31/2015,8/7/2015,"United States, Canada",ES_1120898_SFRF434-WHITE_08072015054605_6365546
2248175,Sylvania,SFRF452-WHITE,,Chest Freezer,Manual,Yes,No,5.1,9,172,220,9/15/2015,9/17/2015,"United States, Canada",ES_1120898_SFRF452-WHITE FRF472-B_09182015054247_4967346
2233417,Thermador,T18ID800LP,",,Reverse Door",Upright Freezer,Automatic,No,Yes,7.8,13.8,440,481,9/15/2014,8/11/2014,"United States, Canada",ES_0031649_T18ID800LP_08082014030531_2752705
2217237,Thermador,T18ID800RP,",,Reverse Door",Upright Freezer,Automatic,No,Yes,7.8,13.8,440,481,9/15/2014,8/11/2014,"United States, Canada",ES_0031649_T18ID800RP_08082014030531_2752705
2292108,Thermador,T18ID900LP,,Upright Freezer,Automatic,No,Yes,7.8,13.7,428,480,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T18ID900LP_03082017044344_70122368
2303328,Thermador,T18ID900RP,",,Reverse Door",Upright Freezer,Automatic,No,Yes,7.8,13.7,428,480,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T18ID900RP_03082017044344_70122368
2219313,Thermador,T18IF800SP,,Upright Freezer,Automatic,No,Yes,8.6,15.2,443,495,10/15/2014,9/10/2014,"United States, Canada",ES_0031649_T18IF800SP_06182014123847_2737291
2292104,Thermador,T18IF900SP,,Upright Freezer,Automatic,No,Yes,8.6,15.1,418,494,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T18IF900SP_03082017044344_70122368
2303321,Thermador,T18IF901SP,",,Network Communication",Upright Freezer,Automatic,No,Yes,8.6,15.1,418,494,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T18IF901SP_03082017044344_70122368
2233414,Thermador,T24ID800LP,",,Reverse Door",Upright Freezer,Automatic,No,Yes,11.3,19.9,494,541,9/15/2014,8/11/2014,"United States, Canada",ES_0031649_T24ID800LP_08082014030531_2752705
2217236,Thermador,T24ID800RP,",,Reverse Door",Upright Freezer,Automatic,No,Yes,11.3,19.9,494,541,9/15/2014,8/11/2014,"United States, Canada",ES_0031649_T24ID800RP_08082014030531_2752705
2292109,Thermador,T24ID900LP,,Upright Freezer,Automatic,No,Yes,11.2,19.8,457,540,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T24ID900LP_03082017044344_70122368
2303329,Thermador,T24ID900RP,",,Reverse Door",Upright Freezer,Automatic,No,Yes,11.2,19.8,457,540,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T24ID900RP_03082017044344_70122368
