ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Cooling_Capacity_BTUperHour,Type,Reverse_Cycle,Casement_Window,Energy_Efficiency_Ratio,Combined_Energy_Efficiency_Ratio,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2294273,BLACK DECKER,BWAC12WT,,12000,Window,No,None,,12,4/12/2017,4/12/2017,United States,ES_1126481_BWAC12WT_04132017081021_1021858
2302523,Brothers Air conditioning,102087,,18000,Window,No,None,,11.8,8/23/2017,8/23/2017,"United States, Canada",ES_1139959_102087_08242017064325_7005535
2268161,CLASSIC,MWDUC24BR2,,22000,Window,No,None,,10.3,5/20/2016,5/31/2016,"United States, Canada",ES_1127196_MWDUC24BR2_05312016095132_8292972
2283355,Coast air,CEW061AS,,6000,Window,No,None,,12.1,10/30/2016,11/3/2016,"United States, Canada",ES_17771_CEW061AS_11042016042543_3543749
2283356,Coast air,CEW081AS,,8000,Window,No,None,,12,10/30/2016,11/3/2016,"United States, Canada",ES_17771_CEW081AS_11042016042555_3555429
2283357,Coast air,CEW101AS,,10000,Window,No,None,,12,10/30/2016,11/3/2016,"United States, Canada",ES_17771_CEW101AS_11042016042611_3571196
2283358,Coast air,CEW121AS,,12000,Window,No,None,,12,10/30/2016,11/3/2016,"United States, Canada",ES_17771_CEW121AS_11042016042622_3582339
2293781,Coast air,CEW151AS,,15000,Window,No,None,,11.8,3/30/2017,3/31/2017,"United States, Canada",ES_17771_CEW151AS_04012017094034_9634663
2306790,Frigidaire,FFRE2233U2E,",FFRE2233U2,",22000,Window,No,None,,10.3,11/15/2017,11/24/2017,"United States, Canada",ES_1021080_FFRE2233U2E_11242017102602_9162738
2251268,Frigidaire,FFRE2533S2,",FFRE25L3S2,",25000,Window,No,None,,10.3,10/26/2015,10/27/2015,United States,ES_1021080_FFRE2533S2_10262015160826_5894433
2306781,Frigidaire,FFRE2533U2E,",FFRE2533U2,",25000,Window,No,None,,10.3,11/15/2017,11/24/2017,"United States, Canada",ES_1021080_FFRE2533U2E_11242017102616_9176181
2251269,Frigidaire,FFTA0833S1,,8000,Through the Wall,No,None,,10.6,10/26/2015,10/26/2015,"United States, Canada",ES_1021080_FFTA0833S1_10262015161152_9118615
2251270,Frigidaire,FFTA1033S1,,10000,Through the Wall,No,None,,10.6,10/19/2015,10/27/2015,"United States, Canada",ES_1021080_FFTA1033S1_10262015161520_2370111
2251272,Frigidaire,FFTA1033S2,,10000,Through the Wall,No,None,,10.6,10/26/2015,10/27/2015,"United States, Canada",ES_1021080_FFTA1033S2_10262015162310_1397973
2251271,Frigidaire,FFTA1233S1,,12000,Through the Wall,No,None,,10.5,10/26/2015,10/27/2015,"United States, Canada",ES_1021080_FFTA1233S1_10262015161842_4359399
2251273,Frigidaire,FFTA1233S2,,12000,Through the Wall,No,None,,10.5,10/26/2015,10/27/2015,"United States, Canada",ES_1021080_FFTA1233S2_10262015162946_1724664
2305437,Frigidaire,FGRC0644U1,,6000,Window,No,None,,12.1,10/15/2017,10/23/2017,"United States, Canada",ES_1021080_FGRC0644U1_10242017064851_7731731
2251499,Frigidaire,FGRC0844S1,,8000,Window,No,None,,12,10/19/2015,10/29/2015,"United States, Canada",ES_1021080_FGRC0844S1_10302015150743_9114190
2305436,Frigidaire,FGRC0844U1,,8000,Window,No,None,,12,10/15/2017,10/23/2017,"United States, Canada",ES_1021080_FGRC0844U1_10242017065019_7819995
2303245,Frigidaire,FGRQ0633T1,,6000,Window,No,None,,12.1,9/6/2017,9/6/2017,"United States, Canada",ES_1021080_FGRQ0633T1_09072017023004_1404935
2284803,Frigidaire,FGRQ06L3T1,",FGRQ0633U1,",6000,Window,No,None,,12.1,11/22/2016,11/24/2016,"United States, Canada",ES_1021080_FGRQ06L3T1_11242016102615_3175097
2303246,Frigidaire,FGRQ0833T1,,8000,Window,No,None,,12,9/6/2017,9/6/2017,"United States, Canada",ES_1021080_FGRQ0833T1_09072017023025_1425961
2284802,Frigidaire,FGRQ08L3T1,",FGRQ0833U1,",8000,Window,No,None,,12,11/22/2016,11/24/2016,"United States, Canada",ES_1021080_FGRQ08L3T1_11242016102638_3198591
2262289,Garrison,2498533,,6000,Window,No,None,,12.1,3/1/2016,3/10/2016,"United States, Canada",ES_1095007_2498533_03122016011310_5190300
2262290,Garrison,2498534,,8000,Window,No,None,,12,3/1/2016,3/10/2016,"United States, Canada",ES_1095007_2498534_03122016011332_5212651
2262291,Garrison,2498535,,10000,Window,No,None,,12,3/1/2016,3/10/2016,"United States, Canada",ES_1095007_2498535_03122016011342_5222664
2262292,Garrison,2498536,,12000,Window,No,None,,12,3/1/2016,3/10/2016,"United States, Canada",ES_1095007_2498536_03122016011357_5237033
2265158,Garrison,2498537,,15100,Window,No,None,,11.8,4/15/2016,4/21/2016,"United States, Canada",ES_1095007_2498537_04222016062011_6011302
